"","x"
"246","ENSG00000189398"
"247","ENSG00000125995"
"248","ENSG00000162576"
"249","ENSG00000159377"
"250","ENSG00000126749"
"251","ENSG00000185627"
"252","ENSG00000162882"
"253","ENSG00000111669"
"254","ENSG00000136718"
"255","ENSG00000162517"
"256","ENSG00000178952"
"257","ENSG00000172500"
"258","ENSG00000116857"
"259","ENSG00000182718"
"260","ENSG00000197061"
"261","ENSG00000158109"
"262","ENSG00000206567"
"263","ENSG00000108551"
"264","ENSG00000189077"
"265","ENSG00000100577"
"266","ENSG00000110799"
"267","ENSG00000106624"
"268","ENSG00000196230"
"269","ENSG00000234745"
"270","ENSG00000132386"
"271","ENSG00000160714"
"272","ENSG00000013441"
"273","ENSG00000051108"
"274","ENSG00000142541"
"275","ENSG00000121966"
"276","ENSG00000170889"
"277","ENSG00000149182"
"278","ENSG00000167552"
"279","ENSG00000180354"
"280","ENSG00000177954"
"281","ENSG00000135917"
"282","ENSG00000144021"
"283","ENSG00000173372"
"284","ENSG00000106565"
"285","ENSG00000134548"
"286","ENSG00000100234"
"287","ENSG00000010319"
"288","ENSG00000174080"
"289","ENSG00000030582"
"290","ENSG00000116754"
"291","ENSG00000130717"
"292","ENSG00000173334"
"293","ENSG00000206503"
"294","ENSG00000134202"
"295","ENSG00000221968"
"296","ENSG00000106400"
"297","ENSG00000206145"
"298","ENSG00000171135"
"299","ENSG00000177700"
"300","ENSG00000109113"
"301","ENSG00000165269"
"302","ENSG00000181191"
"303","ENSG00000100711"
"304","ENSG00000168899"
"305","ENSG00000137076"
"306","ENSG00000141698"
"307","ENSG00000173465"
"308","ENSG00000071082"
"309","ENSG00000129596"
"310","ENSG00000165985"
"311","ENSG00000115694"
"312","ENSG00000115758"
"313","ENSG00000165775"
"314","ENSG00000162191"
"315","ENSG00000174444"
"316","ENSG00000197696"
"317","ENSG00000170145"
"318","ENSG00000014641"
"319","ENSG00000164530"
"320","ENSG00000164587"
"321","ENSG00000170855"
"322","ENSG00000167772"
"323","ENSG00000126088"
"324","ENSG00000135452"
"325","ENSG00000110700"
"326","ENSG00000048544"
"327","ENSG00000180304"
"328","ENSG00000113916"
"329","ENSG00000114771"
"330","ENSG00000125817"
"331","ENSG00000120833"
"332","ENSG00000187513"
"333","ENSG00000112964"
"334","ENSG00000168066"
"335","ENSG00000167588"
"336","ENSG00000117410"
"337","ENSG00000099377"
"338","ENSG00000138073"
"339","ENSG00000143553"
"340","ENSG00000155368"
"341","ENSG00000074800"
"342","ENSG00000155287"
"343","ENSG00000204619"
"344","ENSG00000121073"
"345","ENSG00000107562"
"346","ENSG00000117640"
"347","ENSG00000169442"
"348","ENSG00000159069"
"349","ENSG00000181924"
"350","ENSG00000161204"
"351","ENSG00000149806"
"352","ENSG00000169744"
"353","ENSG00000178988"
"354","ENSG00000137409"
"355","ENSG00000158042"
"356","ENSG00000137818"
"357","ENSG00000163359"
"358","ENSG00000228474"
"359","ENSG00000221963"
"360","ENSG00000100100"
"361","ENSG00000151552"
"362","ENSG00000110324"
"363","ENSG00000004799"
"364","ENSG00000168685"
"365","ENSG00000139910"
"366","ENSG00000184840"
"367","ENSG00000110876"
"368","ENSG00000160932"
"369","ENSG00000120509"
"370","ENSG00000162692"
"371","ENSG00000128185"
"372","ENSG00000115234"
"373","ENSG00000125457"
"374","ENSG00000157514"
"375","ENSG00000089050"
"376","ENSG00000135218"
"377","ENSG00000169714"
"378","ENSG00000161981"
"379","ENSG00000149743"
"380","ENSG00000035141"
"381","ENSG00000062282"
"382","ENSG00000115361"
"383","ENSG00000143369"
"384","ENSG00000128699"
"385","ENSG00000188229"
"386","ENSG00000198830"
"387","ENSG00000188643"
"388","ENSG00000130818"
"389","ENSG00000128581"
"390","ENSG00000185909"
"391","ENSG00000167272"
"392","ENSG00000158710"
"393","ENSG00000161980"
"394","ENSG00000117450"
"395","ENSG00000175197"
"396","ENSG00000131771"
"397","ENSG00000196998"
"398","ENSG00000087111"
"399","ENSG00000163516"
"400","ENSG00000102287"
"401","ENSG00000154263"
"402","ENSG00000103502"
"403","ENSG00000087191"
"404","ENSG00000140105"
"405","ENSG00000116096"
"406","ENSG00000095970"
"407","ENSG00000271503"
"408","ENSG00000141753"
"409","ENSG00000138867"
"410","ENSG00000022267"
"411","ENSG00000092841"
"412","ENSG00000167676"
"413","ENSG00000214114"
"414","ENSG00000091640"
"415","ENSG00000000938"
"416","ENSG00000242259"
"417","ENSG00000008018"
"418","ENSG00000178035"
"419","ENSG00000090432"
"420","ENSG00000169738"
"421","ENSG00000115523"
"422","ENSG00000117984"
"423","ENSG00000171227"
"424","ENSG00000169100"
"425","ENSG00000126524"
"426","ENSG00000184076"
"427","ENSG00000159479"
"428","ENSG00000172809"
"429","ENSG00000124193"
"430","ENSG00000114779"
"431","ENSG00000158526"
"432","ENSG00000164054"
"433","ENSG00000126432"
"434","ENSG00000107175"
"435","ENSG00000101843"
"436","ENSG00000154096"
"437","ENSG00000105374"
"438","ENSG00000143774"
"439","ENSG00000143149"
"440","ENSG00000166033"
"441","ENSG00000102882"
"442","ENSG00000164032"
"443","ENSG00000114125"
"444","ENSG00000184887"
"445","ENSG00000203950"
"446","ENSG00000006007"
"447","ENSG00000143761"
"448","ENSG00000014919"
"449","ENSG00000138835"
"450","ENSG00000131943"
"451","ENSG00000161016"
"452","ENSG00000205758"
"453","ENSG00000132475"
"454","ENSG00000157259"
"455","ENSG00000108826"
"456","ENSG00000231389"
"457","ENSG00000119718"
"458","ENSG00000122971"
"459","ENSG00000165672"
"460","ENSG00000108591"
"461","ENSG00000123342"
"462","ENSG00000134339"
"463","ENSG00000058262"
"464","ENSG00000185215"
"465","ENSG00000115415"
"466","ENSG00000211445"
"467","ENSG00000159348"
"468","ENSG00000138131"
"469","ENSG00000108821"
"470","ENSG00000184990"
"471","ENSG00000175166"
"472","ENSG00000109971"
"473","ENSG00000107798"
"474","ENSG00000197324"
"475","ENSG00000265354"
"476","ENSG00000166913"
"477","ENSG00000148290"
"478","ENSG00000116459"
"479","ENSG00000099624"
"480","ENSG00000137207"
"481","ENSG00000204386"
"482","ENSG00000072778"
"483","ENSG00000138085"
"484","ENSG00000164687"
"485","ENSG00000205937"
"486","ENSG00000177370"
"487","ENSG00000211895"
"488","ENSG00000198408"
"489","ENSG00000133639"
"490","ENSG00000198258"
"491","ENSG00000204070"
"492","ENSG00000100439"
"493","ENSG00000085063"
"494","ENSG00000141562"
"495","ENSG00000197747"
"496","ENSG00000204371"
"497","ENSG00000055950"
"498","ENSG00000160131"
"499","ENSG00000167792"
"500","ENSG00000182578"
"501","ENSG00000196616"
"502","ENSG00000136908"
"503","ENSG00000185608"
"504","ENSG00000173209"
"505","ENSG00000229920"
"506","ENSG00000181610"
"507","ENSG00000172113"
"508","ENSG00000154198"
"509","ENSG00000141642"
"510","ENSG00000002933"
"511","ENSG00000168256"
"512","ENSG00000183258"
"513","ENSG00000164330"
"514","ENSG00000100348"
"515","ENSG00000237441"
"516","ENSG00000139531"
"517","ENSG00000152795"
"518","ENSG00000115073"
"519","ENSG00000108848"
"520","ENSG00000134884"
"521","ENSG00000094914"
"522","ENSG00000176435"
"523","ENSG00000204308"
"524","ENSG00000179627"
"525","ENSG00000116871"
"526","ENSG00000132591"
"527","ENSG00000124491"
"528","ENSG00000174804"
"529","ENSG00000129538"
"530","ENSG00000120333"
