"","x"
"246","ENSG00000148175"
"247","ENSG00000170855"
"248","ENSG00000250742"
"249","ENSG00000204568"
"250","ENSG00000115414"
"251","ENSG00000159348"
"252","ENSG00000179933"
"253","ENSG00000174748"
"254","ENSG00000138073"
"255","ENSG00000110108"
"256","ENSG00000137818"
"257","ENSG00000169100"
"258","ENSG00000184007"
"259","ENSG00000002933"
"260","ENSG00000132591"
"261","ENSG00000137409"
"262","ENSG00000101856"
"263","ENSG00000166927"
"264","ENSG00000149600"
"265","ENSG00000117410"
"266","ENSG00000169727"
"267","ENSG00000196230"
"268","ENSG00000126088"
"269","ENSG00000103502"
"270","ENSG00000243927"
"271","ENSG00000135404"
"272","ENSG00000168090"
"273","ENSG00000126267"
"274","ENSG00000048162"
"275","ENSG00000125611"
"276","ENSG00000101246"
"277","ENSG00000159377"
"278","ENSG00000165502"
"279","ENSG00000173559"
"280","ENSG00000172500"
"281","ENSG00000110955"
"282","ENSG00000164032"
"283","ENSG00000151552"
"284","ENSG00000063177"
"285","ENSG00000182636"
"286","ENSG00000167182"
"287","ENSG00000137207"
"288","ENSG00000178952"
"289","ENSG00000100711"
"290","ENSG00000050130"
"291","ENSG00000174307"
"292","ENSG00000196154"
"293","ENSG00000075415"
"294","ENSG00000166275"
"295","ENSG00000115234"
"296","ENSG00000008018"
"297","ENSG00000100577"
"298","ENSG00000092841"
"299","ENSG00000165269"
"300","ENSG00000172057"
"301","ENSG00000167676"
"302","ENSG00000101363"
"303","ENSG00000053438"
"304","ENSG00000119718"
"305","ENSG00000143149"
"306","ENSG00000178449"
"307","ENSG00000090382"
"308","ENSG00000030582"
"309","ENSG00000125995"
"310","ENSG00000117640"
"311","ENSG00000155254"
"312","ENSG00000147155"
"313","ENSG00000162191"
"314","ENSG00000132376"
"315","ENSG00000107562"
"316","ENSG00000112695"
"317","ENSG00000148290"
"318","ENSG00000158526"
"319","ENSG00000126432"
"320","ENSG00000186501"
"321","ENSG00000101843"
"322","ENSG00000153291"
"323","ENSG00000165775"
"324","ENSG00000237441"
"325","ENSG00000241553"
"326","ENSG00000152684"
"327","ENSG00000114125"
"328","ENSG00000143369"
"329","ENSG00000166619"
"330","ENSG00000114771"
"331","ENSG00000106565"
"332","ENSG00000141753"
"333","ENSG00000271503"
"334","ENSG00000134339"
"335","ENSG00000198668"
"336","ENSG00000116954"
"337","ENSG00000165410"
"338","ENSG00000091640"
"339","ENSG00000014919"
"340","ENSG00000011600"
"341","ENSG00000169714"
"342","ENSG00000100100"
"343","ENSG00000174807"
"344","ENSG00000058262"
"345","ENSG00000168792"
"346","ENSG00000125743"
"347","ENSG00000107223"
"348","ENSG00000108826"
"349","ENSG00000134817"
"350","ENSG00000101955"
"351","ENSG00000211445"
"352","ENSG00000134202"
"353","ENSG00000143761"
"354","ENSG00000242259"
"355","ENSG00000204070"
"356","ENSG00000189129"
"357","ENSG00000144567"
"358","ENSG00000055732"
"359","ENSG00000184887"
"360","ENSG00000152270"
"361","ENSG00000149483"
"362","ENSG00000188229"
"363","ENSG00000197982"
"364","ENSG00000116459"
"365","ENSG00000181924"
"366","ENSG00000170525"
"367","ENSG00000068120"
"368","ENSG00000131828"
"369","ENSG00000185608"
"370","ENSG00000169446"
"371","ENSG00000099377"
"372","ENSG00000041988"
"373","ENSG00000184990"
"374","ENSG00000100201"
"375","ENSG00000110002"
"376","ENSG00000119185"
"377","ENSG00000167468"
"378","ENSG00000164687"
"379","ENSG00000128581"
"380","ENSG00000181929"
"381","ENSG00000116096"
"382","ENSG00000198408"
"383","ENSG00000133639"
"384","ENSG00000197766"
"385","ENSG00000119927"
"386","ENSG00000145337"
"387","ENSG00000125817"
"388","ENSG00000129596"
"389","ENSG00000000003"
"390","ENSG00000164631"
"391","ENSG00000204851"
"392","ENSG00000160131"
"393","ENSG00000116649"
"394","ENSG00000189077"
"395","ENSG00000172113"
"396","ENSG00000142669"
"397","ENSG00000139910"
"398","ENSG00000137547"
"399","ENSG00000062485"
"400","ENSG00000142541"
"401","ENSG00000134884"
"402","ENSG00000125991"
"403","ENSG00000132475"
"404","ENSG00000204308"
"405","ENSG00000205758"
"406","ENSG00000160307"
"407","ENSG00000265972"
"408","ENSG00000104915"
"409","ENSG00000110876"
"410","ENSG00000023734"
"411","ENSG00000113916"
"412","ENSG00000257365"
"413","ENSG00000128699"
