"","x"
"246","ENSG00000176101"
"247","ENSG00000178982"
"248","ENSG00000117594"
"249","ENSG00000116954"
"250","ENSG00000143553"
"251","ENSG00000187630"
"252","ENSG00000178381"
"253","ENSG00000215845"
"254","ENSG00000115414"
"255","ENSG00000139641"
"256","ENSG00000117632"
"257","ENSG00000185885"
"258","ENSG00000155252"
"259","ENSG00000124155"
"260","ENSG00000109113"
"261","ENSG00000089220"
"262","ENSG00000075415"
"263","ENSG00000167779"
"264","ENSG00000119185"
"265","ENSG00000187513"
"266","ENSG00000187288"
"267","ENSG00000142168"
"268","ENSG00000160255"
"269","ENSG00000161203"
"270","ENSG00000231389"
"271","ENSG00000185627"
"272","ENSG00000254685"
"273","ENSG00000257365"
"274","ENSG00000144567"
"275","ENSG00000133048"
"276","ENSG00000144021"
"277","ENSG00000130165"
"278","ENSG00000214706"
"279","ENSG00000133063"
"280","ENSG00000140749"
"281","ENSG00000100075"
"282","ENSG00000137161"
"283","ENSG00000178927"
"284","ENSG00000148303"
"285","ENSG00000204568"
"286","ENSG00000185000"
"287","ENSG00000186298"
"288","ENSG00000147162"
"289","ENSG00000186340"
"290","ENSG00000136240"
"291","ENSG00000008988"
"292","ENSG00000177706"
"293","ENSG00000163762"
"294","ENSG00000120948"
"295","ENSG00000111640"
"296","ENSG00000124688"
"297","ENSG00000062485"
"298","ENSG00000186501"
"299","ENSG00000135900"
"300","ENSG00000113328"
"301","ENSG00000129055"
"302","ENSG00000126267"
"303","ENSG00000092841"
"304","ENSG00000196196"
"305","ENSG00000138073"
"306","ENSG00000102317"
"307","ENSG00000198408"
"308","ENSG00000213619"
"309","ENSG00000100564"
"310","ENSG00000167182"
"311","ENSG00000058262"
"312","ENSG00000023734"
"313","ENSG00000169100"
"314","ENSG00000113140"
"315","ENSG00000183207"
"316","ENSG00000231453"
"317","ENSG00000117305"
"318","ENSG00000158716"
"319","ENSG00000007255"
"320","ENSG00000132591"
"321","ENSG00000013306"
"322","ENSG00000124253"
"323","ENSG00000125743"
"324","ENSG00000119718"
"325","ENSG00000125835"
"326","ENSG00000126088"
"327","ENSG00000106809"
"328","ENSG00000184811"
"329","ENSG00000178096"
"330","ENSG00000126247"
"331","ENSG00000131669"
"332","ENSG00000183801"
"333","ENSG00000178896"
"334","ENSG00000228223"
"335","ENSG00000143621"
"336","ENSG00000241839"
"337","ENSG00000041988"
"338","ENSG00000100201"
"339","ENSG00000114125"
"340","ENSG00000113141"
"341","ENSG00000137207"
"342","ENSG00000180917"
"343","ENSG00000168792"
"344","ENSG00000125991"
"345","ENSG00000266412"
"346","ENSG00000147684"
"347","ENSG00000174059"
"348","ENSG00000237441"
"349","ENSG00000166275"
"350","ENSG00000117691"
"351","ENSG00000165810"
"352","ENSG00000204228"
"353","ENSG00000143149"
"354","ENSG00000008018"
"355","ENSG00000243927"
"356","ENSG00000140319"
"357","ENSG00000125691"
"358","ENSG00000182718"
"359","ENSG00000147526"
"360","ENSG00000100938"
"361","ENSG00000101363"
"362","ENSG00000162576"
"363","ENSG00000116459"
"364","ENSG00000104823"
"365","ENSG00000278845"
"366","ENSG00000185567"
"367","ENSG00000071553"
"368","ENSG00000112667"
"369","ENSG00000213625"
"370","ENSG00000270170"
"371","ENSG00000115234"
"372","ENSG00000118971"
"373","ENSG00000126432"
