"","Adip_1","Adip_2","Macrophages","Mast","Pre_Ad","Stem","Vascular"
"WASH7P",254.308091710743,60.715160517769,11.83783300855,32.043765679363,93.5122711006364,31.3948581748188,126.280785604002
"AL627309.1",120.97637285182,192.717443856335,59.1011007381479,10.6294743632065,317.384189827332,99.9603320601092,99.1851730998051
"FO538757.1",355.0294591605,89.4727962494295,8.59846304999613,10.5898763895668,76.2990837150896,57.284170164937,50.9119738790035
"AP006222.1",486.255498010439,3499.70626244884,120.947936918283,19.6857428941452,600.376538101235,173.299412190502,320.80282072736
"AL669831.3",746.911771669487,691.800162307849,163.009015691614,27.2339341366485,999.723229306114,134.502709231415,280.724764579438
"MTND1P23",7255.12131706841,2323.13375147894,1042.31492566772,63.5419393167195,2172.55032092966,1893.97190173849,4638.42714083521
"MTND2P28",5997.71573516128,2130.37049780398,851.360308653776,86.9596954106606,1982.37845372029,1721.82837832458,2228.73641637141
"MTCO1P12",1935.54663403219,471.97874693429,159.085485436396,13.6462586130421,445.806032287378,381.941249209006,930.105921951891
"MTATP6P1",27353.6772048481,9912.12573500216,3024.17456651879,307.247688874931,8047.75971138053,7007.93282186199,11878.5645736385
"MTCO3P12",94.4531317181132,35.5541015298864,11.6443404231791,0.877787061671919,28.9898151810606,22.8171995911281,37.9907156633893
"AL669831.1",65.6622548459836,60.8728265619146,0.575630190743511,7.58351193990429,12.3985206883413,0.372400504389367,11.4892138742915
"AL669831.5",157.501750572933,420.585708504537,32.5833639921325,13.3082308508399,186.928250085294,40.1590905996527,83.3158199511494
"LINC01128",2082.51681734687,5214.41040010366,146.55046055171,46.609297299255,665.52467982347,857.931305171492,821.765323290402
"SAMD11",118.231539933723,10.3536667094331,4.03189452339943,3.8075907837341,107.387029142597,10.9770451726932,63.2333993502475
"NOC2L",786.460858482716,142.775518881084,80.4885584980486,47.3216654273662,213.707549344841,292.056423139349,187.669474806254
"PLEKHN1",28.9992098841709,3.87801336987749,10.2062620915098,0.497119410215727,216.681912835915,4.37037871691127,6.1684706583774
"ISG15",2870.70138919309,317.18747795205,308.703315021929,25.3903316240233,501.576192342711,971.517422192051,2405.08514312309
"AGRN",441.261742093414,108.991243231303,40.1565280378518,27.3268928070213,332.233465890019,190.948683567371,438.291901410405
"C1orf159",571.425736799554,226.724721361903,67.0018028243588,31.3762070202364,410.95672034563,97.2454100811313,228.230756503735
"TTLL10",237.613708965534,34.0896123134155,25.116518068517,13.8189513920641,187.06800451986,15.8798440809215,77.8888812776165
"TNFRSF4",113.219718977252,5.2309461263793,6.19844533516515,14.6221303889877,36.1442353441693,2.12447620952216,59.0814810984167
"SDF4",1658.41746679648,281.69941755569,140.223521469342,21.1955542252729,427.973663343979,521.954989532156,734.532756064466
"B3GALT6",214.39577745297,136.058769497975,44.7385287413033,4.68124082606551,256.643258205103,305.918476456835,353.513696979159
"C1QTNF12",44.7699642841412,0.191465089485317,7.75593130889614,0.00465866639701266,1.50469382331977,7.97399979257263e-15,25.4407337363674
"AL162741.1",10.356992198258,2.66429101527991e-14,0,0,0,3.51314534150984e-15,4.10557429435205e-15
"UBE2J2",2186.41340386986,975.587392675374,342.916135215701,74.6910933311339,666.59304341341,610.949162985142,918.034489102154
"LINC01786",66.618890535972,0.172909734349332,0.375365345427972,3.83705543097865,11.9796670834185,4.57801363588774e-12,2.23443155265451
"SCNN1D",227.72771254384,195.082320747929,33.7531861745583,4.31487422507743,205.939555193684,66.4688276513344,104.517411605245
"ACAP3",520.215015857441,271.657367102211,148.084424531813,26.1752115660886,213.944111841182,290.270218871563,246.085000630726
"PUSL1",424.017387057515,281.269196557066,46.8905468998223,2.81170555673556,172.748718612919,60.3174961251653,104.568141879057
"INTS11",1541.11924912914,868.432788048603,128.336938508466,56.0397597436599,468.065470667319,585.105302866861,437.645879194026
"CPTP",957.034409300012,317.5988686839,96.9582074884076,26.2008035988821,265.343104030832,166.482451668927,821.509977562007
"DVL1",1379.19940449529,247.410978406988,67.4526248939892,8.15746362080851,381.397417585436,368.766287349112,733.438999873844
"MXRA8",12608.3326075532,5880.27702778297,955.128247333819,166.116118264676,2454.97706329765,10263.1599613498,4308.20086213131
"AURKAIP1",9735.90325407977,1876.84803546404,560.826744920689,81.8497005394628,1357.66994635481,1656.5152637056,2299.36844064559
"CCNL2",2275.276617845,8779.10451088447,743.73473450948,215.403474300276,1337.76056554734,1976.80462897084,2039.74116436322
"AL391244.1",224.16840019624,74.0077366631219,1.2335541277461,0.173787580598716,68.512592815854,7.42232343887197e-11,99.2766806696737
"MRPL20",7613.35379541977,3157.60325217027,868.134880076422,94.0787594478173,1794.97678935495,2150.61633261044,3181.71414822441
"AL391244.3",24.8896554830375,5.57466538331001,1.45175026221359e-14,0.575265862063936,48.8019225798601,0.0796213879082163,22.5334052513265
"ANKRD65",1015.29675624671,563.933559238273,87.3780844110398,3.41215327232974,153.549869019171,413.867691244013,247.679751293455
"VWA1",1253.8537735319,580.365299793457,90.3415479399912,14.1239115930966,331.910596789822,558.147471172239,1066.89728426893
"ATAD3C",271.899316813724,60.3372911056269,18.2161039435214,12.4136979024601,402.575508075992,34.4353037925407,136.783637181463
"ATAD3B",502.798236079367,278.397557737541,111.201756314592,25.1283794998346,354.922861406423,183.717587111063,198.82115074973
"AL645728.2",153.3805819977,31.3456600135526,0.793874675644945,0.597041400585913,65.0833278601286,10.3123518054059,77.5361879346789
"ATAD3A",989.723648611403,268.005300233916,89.3128695903696,20.4700410795623,305.106259073034,310.106652596709,216.098825718217
"TMEM240",84.5862609341874,4.34612709317525e-15,1.49514054345389e-15,3.0170352361282e-15,0.542318044172131,4.3624510805272e-15,9.9597991813074e-15
"SSU72",9646.52815065723,3318.00203099193,825.912635790069,173.960347927159,2204.25207197612,2013.38557354751,3299.94228100867
"AL691432.2",26.3871539687372,186.580989233103,30.4100987941292,0.192392185524887,91.5430945496373,125.458890534863,32.873445449489
"MIB2",286.635240640794,212.609678167203,31.0181303474885,17.1841844934721,183.530984216254,63.4378828918064,110.044464208692
"CDK11B",1681.46354797116,888.065376926149,181.890463576226,69.3387216320819,753.647511257999,498.832869800648,814.720559671201
"SLC35E2B",1344.08134935454,2087.63496419371,317.969161318632,88.9119519814269,822.649855921723,1259.38813314865,849.41572264398
"SLC35E2A",928.919362434975,2603.90734758223,167.811574862988,33.4573041097216,496.299048456943,1165.93556801791,673.919045786038
"NADK",1769.13425562194,1011.89725119541,168.044232649568,25.7220102525371,860.343992073664,356.680115596416,494.81807166392
"GNB1",16678.7884571649,6294.44390609353,2694.08014357842,323.319823054347,7131.89740772592,5062.61599174277,11433.821145924
"CFAP74",1143.376617106,143.52803165232,143.932873845435,74.9218642963393,1192.75925987365,121.476222120113,461.204029020428
"PRKCZ",1296.04459566018,233.981436012972,200.661304335418,113.06460032737,1500.62117586401,255.185541871682,658.720859326071
"FAAP20",1615.85124359423,480.057755146468,100.952023896342,25.998988575277,651.025357300364,332.961083472672,505.981273470844
"AL590822.1",104.889646128669,215.15558197758,25.1465918379404,8.07104686645997,104.17543009268,43.0527864848948,21.2679276374917
"SKI",4899.50668359582,4995.12962420035,454.070449251898,218.588346615352,1839.54865023825,1584.37943279015,1959.66488571074
